Honorific Title,First Name,Last Name,Title,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Right Hon.,Justin,Trudeau,Leader of the Liberal Party,Papineau,Quebec,Liberal,2013-04-15 12:00:00 AM,
Hon.,Andrew,Scheer,Leader of the Conservative Party of Canada,Regina—Qu'Appelle,Saskatchewan,Conservative,2017-05-28 12:00:00 AM,2020-08-24 12:59:59 AM
,Jagmeet,Singh,Leader of the New Democratic Party,Burnaby South,British Columbia,NDP,2019-02-27 12:00:00 AM,
,Guy,Caron,Leader of the New Democratic Party,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,NDP,2017-10-04 12:00:00 AM,2019-02-26 11:59:59 PM
Hon.,Thomas,Mulcair,Leader of the New Democratic Party,Outremont,Quebec,NDP,2012-03-24 12:00:00 PM,2017-10-03 11:59:00 PM
Hon.,Bardish,Chagger,Leader of the Government in the House of Commons,Waterloo,Ontario,Liberal,2016-08-19 3:22:00 PM,2019-11-20 2:59:59 PM
Hon.,Dominic,LeBlanc,Leader of the Government in the House of Commons,Beauséjour,New Brunswick,Liberal,2015-11-04 10:45:00 AM,2016-08-19 11:59:59 PM
Hon.,Candice,Bergen,House Leader of the Official Opposition,Portage—Lisgar,Manitoba,Conservative,2016-09-15 12:00:00 AM,2020-09-02 12:01:00 AM
Hon.,Andrew,Scheer,House Leader of the Official Opposition,Regina—Qu'Appelle,Saskatchewan,Conservative,2015-12-03 12:00:00 AM,2016-09-13 11:59:59 PM
,Peter,Julian,House Leader of the New Democratic Party,New Westminster—Burnaby,British Columbia,NDP,2019-03-14 12:00:00 AM,2019-10-20 11:59:59 PM
,Ruth Ellen,Brosseau,House Leader of the New Democratic Party,Berthier—Maskinongé,Quebec,NDP,2018-01-25 12:00:00 AM,2019-03-13 11:59:00 PM
,Murray,Rankin,House Leader of the New Democratic Party,Victoria,British Columbia,NDP,2016-10-19 12:00:01 AM,2017-10-23 11:59:59 PM
Hon.,Mark,Holland,Chief Government Whip,Ajax,Ontario,Liberal,2018-08-31 12:00:00 AM,2021-08-15 11:59:59 PM
Hon.,Pablo,Rodriguez,Chief Government Whip,Honoré-Mercier,Quebec,Liberal,2017-01-30 12:00:00 AM,2018-08-30 11:59:59 PM
Hon.,Andrew,Leslie,Chief Government Whip,Orléans,Ontario,Liberal,2015-11-20 12:00:00 AM,2017-01-29 11:59:59 PM
,Mark,Strahl,Chief Opposition Whip,Chilliwack—Hope,British Columbia,Conservative,2017-07-20 12:00:00 AM,2020-09-02 12:01:00 AM
,Gordon,Brown,Chief Opposition Whip,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2015-11-10 12:00:00 AM,2017-07-19 11:59:59 PM
,Ruth Ellen,Brosseau,Whip of the New Democratic Party,Berthier—Maskinongé,Quebec,NDP,2019-03-14 12:00:00 AM,2019-09-11 11:59:59 PM
,Marjolaine,Boutin-Sweet,Whip of the New Democratic Party,Hochelaga,Quebec,NDP,2015-11-13 12:00:00 AM,2019-03-13 11:59:00 PM
,Francis,Scarpaleggia,Caucus Chair,Lac-Saint-Louis,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-09-11 11:59:59 PM
,David,Sweet,Caucus Chair,Flamborough—Glanbrook,Ontario,Conservative,2015-11-05 12:00:00 AM,2019-09-11 11:59:59 PM
,Matthew,Dubé,Caucus Chair,Beloeil—Chambly,Quebec,NDP,2018-02-14 12:00:00 AM,2019-09-11 11:59:59 PM
,Daniel,Blaikie,Caucus Chair,Elmwood—Transcona,Manitoba,NDP,2017-01-24 12:00:00 AM,2018-02-13 11:59:00 PM
,Ruth Ellen,Brosseau,Caucus Chair,Berthier—Maskinongé,Quebec,NDP,2016-11-23 12:00:01 AM,2017-01-23 11:59:59 PM
,Charlie,Angus,Caucus Chair,Timmins—James Bay,Ontario,NDP,2016-01-25 12:00:00 AM,2016-11-23 12:00:00 AM
